,City,Latitude,Temperature,Humidity,Cloudiness,Wind_Speed
0,Novoagansk,61.94,8.49,80,88,8.63
1,Saint George,39.45,30.4,79,20,3.71
2,Eureka,40.8,43.3,100,75,8.05
3,Namatanai,-3.66,83.46,99,76,15.12
4,Ulagan,50.63,3.23,81,0,1.92
5,Shache,38.42,32.93,48,20,4.38
6,Lompoc,34.64,48.11,93,75,6.93
7,Busselton,-33.64,82.34,65,0,15.23
8,Mandalgovi,45.76,7.05,47,8,9.98
9,Puerto Ayora,-0.74,75.09,100,68,7.63
10,Galle,29.74,41.83,92,1,4.7
11,Portland,45.52,48.25,65,75,17.22
12,Chuy,-33.69,66.63,93,0,11.99
13,Mataura,-46.19,56.55,72,0,11.65
14,Esperance,10.24,71.6,94,20,5.39
15,Rikitea,-23.12,80.18,95,92,17.47
16,Birao,10.3,88.14,23,12,14.79
17,Port Alfred,-33.59,71.76,69,0,8.19
18,Ribeira Grande,38.52,62.6,93,75,20.8
19,Punta Arenas,-53.16,44.6,81,75,17.22
20,Nikolskoye,59.7,14.0,85,75,8.95
21,Samarai,-10.62,82.34,100,36,23.51
22,Podgorica,42.44,21.81,77,8,3.6
23,Bara,10.41,74.19,25,0,10.76
24,Georgetown,6.8,73.4,94,40,2.24
25,Kenai,60.55,2.88,87,90,8.05
26,Kigoma,-4.88,77.0,78,40,2.37
27,Ushuaia,-54.81,42.8,81,75,25.28
28,Port Lincoln,-34.72,66.18,82,0,12.77
29,Jamestown,-33.21,74.19,27,0,9.75
30,Hermanus,-34.42,77.43,45,0,4.38
31,Dikson,73.51,-11.27,100,8,21.16
32,Atuona,-9.8,81.08,100,20,16.69
33,Fort Nelson,58.81,8.6,78,90,10.29
34,Sayyan,15.17,71.36,13,0,3.94
35,Baruun-Urt,46.68,7.01,70,68,8.52
36,Tasiilaq,65.61,21.2,73,0,2.24
37,Husavik,50.56,-4.52,53,0,3.38
38,Kodiak,39.95,38.28,60,1,6.93
39,Turukhansk,65.8,0.66,73,64,19.04
40,Anshun,26.25,60.74,64,0,15.01
41,Hithadhoo,-0.6,77.12,100,92,5.61
42,Tuatapere,-46.13,55.88,97,8,14.9
43,Nyanguge,-2.54,80.6,57,20,5.82
44,Linkoping,58.41,33.75,100,92,2.24
45,Torbay,47.66,33.66,93,90,17.22
46,Talnakh,69.49,2.28,85,80,16.91
47,Yarada,17.65,80.6,42,0,11.41
48,Majene,-3.54,83.1,100,12,4.27
49,Kapaa,22.08,68.76,73,75,4.7
50,Hobart,-42.88,66.2,55,40,11.41
51,Arraial do Cabo,-22.97,74.26,94,40,3.36
52,Oranjemund,-28.55,61.95,93,68,12.77
53,Qaanaaq,77.48,-6.86,88,32,1.7
